#  (1) name
#  (2) XC CALIFA
#  (3) YC CALIFA
#  (4) RA_gal_CAL from cube
#  (5) DEC_gal_CAL from cube
#  (6) XC PanStarss hips images
#  (7) YC PanStarss hips images
#  (8) RA_gal_arc from PanStarss
#  (9) DEC_gal_arc from PanStarss
# (10) D_RA
# (11) D_DEC
name,XC,YC,RA_gal_CAL,DEC_gal_CAL,xc_hips,yc_hips,RA_gal_arc,DEC_gal_arc,D_RA,D_DEC
11fe,41.9707033667379,32.1154999026157,210.792298820052,54.2777794187586,162.384288571893,285.138571529216,210.798190751373,54.2844167481609,-12.3821113083458,-23.8943858482628
14J,26.9950786077457,27.7461043666653,148.974862728013,69.6839169551078,269.460289888549,201.50658285254,148.973373621631,69.6795159177353,1.86162983799486,15.8437345411642
2MASSXJ22532475,40.6070865740119,34.4983626075758,343.352181441128,4.79737276350685,237.385471618905,268.984562872561,343.353174258808,4.79951056351426,-3.56161111787576,-7.69608002665656
2MASXJ01331766+1319567,31.8648679791437,30.5823166221209,23.3238196264259,13.33220588506,250.218058932256,252.841458480766,23.3237353572048,13.3324282762911,0.295192907216372,-0.800608431857341
2MASXJ08374557,35.5237185008089,31.6504512738188,129.445225287752,49.4774999076871,282.902878739332,252.911616823541,129.441689522516,49.4779881662374,8.27036332258115,-1.75773078084376
2MASXJ09065870,33.9289423378659,31.2285084860729,136.744590804208,20.7864264614654,249.552839384069,248.831518545554,136.744555258512,20.7863461387406,0.119635294110542,0.289161809568839
2MASXJ09591230,33.4722784594594,30.5821410441421,149.802898242903,-9.00589466214098,264.99499691302,281.556383023783,149.801167554749,-9.00252295190642,6.15372655794395,-12.1381568444242
2MASXJ12095669,35.5030692748162,31.4731983318519,182.490841021883,47.0896681471441,278.985707902505,311.126969026892,182.48770270963,47.0960271778437,7.69129065667322,-22.8925105185311
2MASXJ15024995+4847010-2,35.5199008018287,31.5727716365557,225.715382370546,48.7857618661298,295.12765791524,227.97028124644,225.710625187868,48.7837775687996,11.2842442264334,7.14347038855294
2MASXJ15024995+4847010_comb,35.51990079594,31.5727716420847,225.706121572582,48.7909250817337,234.117294179253,176.863139998205,225.707465426272,48.7838300702778,-3.18767606985819,25.5420412413002
2MASXJ15024995+4847010,35.5109251790983,31.5977922877252,225.706119079355,48.7909320319131,233.156410233921,173.722169517962,225.707561514667,48.7835159732298,-3.42153713271195,26.6978112598196
2MASXJ15393305+3205382-2,34.5457586814252,31.5210434344319,234.888607886819,32.0953081039593,254.393220630848,235.005701607441,234.887916965117,32.0940417176108,2.10719741973058,4.55899085464182
2MASXJ15393305+3205382_comb,34.5457456507532,31.5206648411269,234.890188880958,32.0977548627531,267.790409253514,210.527734855728,234.888158244015,32.0940407848936,6.1931083652986,13.3706802941447
2MASXJ15393305+3205382,34.5502559519957,31.5200376301254,234.89019013382,32.0977546885278,267.790409253514,210.527734855728,234.888158244015,32.0940407848936,6.19692938650652,13.3700530831447
2MASXJ15570268+3725001,34.5339048195292,31.4747967449654,239.265661551519,37.4173446636287,283.050071330903,241.373275318724,239.262108237487,37.4167278809539,10.1598159652964,2.22041762949914
2MASXJ16152860,34.5969512964298,29.6654253591364,243.86389174866,19.2233509208525,194.138074324188,275.501307158774,243.868934343648,19.2260939889689,-17.1408618073884,-9.87504521909841
2,9.90484095563429,47.194394863882,148.870960463354,69.6733363192672,192.428174299996,239.546432493935,148.88219963455,69.6706702972764,-14.0566848770672,9.59767916684768
AGC210538,39.6489646967613,32.926627681234,174.516708045749,19.8610918410226,250.882070091778,251.834336303935,174.516061792979,19.8616734336484,2.18811829372108,-2.0937334529421
ARP118,38.2544614616268,37.2397408950146,43.7944618281838,-0.179491149751385,248.540923590259,250.543358034987,43.794992607641,-0.179958964196501,-1.91079662068326,1.68413200241934
Arp141_b,42.971737197466,19.9682710405232,108.585547704777,73.4699867419557,242.070671916235,219.782181466885,108.585692932808,73.4740182181467,-0.148714962676998,-14.5133142875579
Arp141,41.5680661986981,45.2922409380461,108.585157796166,73.4770211780383,246.759935698369,284.98213491556,108.58522400643,73.4805382134916,-0.0677739712030705,-12.6613276315709
Arp142,27.735634567493,7.39906684675696,144.424506565158,2.75317085190188,169.154377290375,92.7849615355296,144.437564562271,2.74743849615355,-46.9547541820852,20.6364806939671
Arp143,34.5213041100303,31.4432001742934,116.723474806697,39.0192853333818,202.197559710029,206.187341856271,116.728010244029,39.0151587341856,-12.6861731619932,14.8557571060309
Arp148,26.1321072826107,30.5521255525247,165.970317807578,40.8490455904313,213.383637073845,257.730678279488,165.975231636293,40.8500430678279,-13.3809584454492,-3.59091862807475
ARP180,32.3112148453028,31.9601289034692,73.3525950538033,-4.79250602868688,250.349330419117,245.84651284849,73.3523736721931,-4.79281030209745,0.794187046472161,1.09538427803777
ARP220,37.9057315955424,32.5406005355272,233.738032031617,23.5032069282809,242.121387754591,249.761047473483,233.739023856285,23.5036884217683,-3.27433306529356,-1.73337655491821
Arp70,39.599204788024,33.5509052781692,20.8647464457745,30.7782052514662,218.679519785779,310.46458363517,20.8676120480214,30.7844764583635,-8.86259889502347,-22.5763448304946
ASAS14my,39.7463431534366,33.5929344280087,174.617786658883,-8.97727207536548,164.760089052988,258.418857779335,174.626003332435,-8.97621711581757,-29.2177621482994,-3.79785437248046
ASAS15cb,31.7954642723008,30.7230505502472,189.956671806631,3.78137825415198,220.450584668063,403.175911368608,189.959305785863,3.79687277569156,-9.46151223221041,-55.7802775424859
